                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.84602,                0.76039,                 1.1987,                0.90212,                0.79083,                 1.2134,                 0.8416,                0.88834,                0.90644,                0.63195,                0.99717,                 0.6409,                 1.4526,                 1.0236,                0.57791,                 1.4696,               0.008614,               0.008614,               0.008614
                     45,                0.83933,                0.75612,                 1.1973,                0.88997,                0.79652,                 1.2088,                0.87354,                0.89294,                0.91953,                0.64027,                0.99501,                0.60346,                 1.4519,                 1.0124,                0.54979,                 1.4563,               0.008581,               0.008581,               0.008581
                     46,                0.83046,                0.74276,                 1.1881,                0.88983,                0.77402,                 1.2023,                0.90178,                0.87917,                 0.9269,                0.64171,                 1.0094,                0.60389,                 1.4652,                 1.0253,                0.54469,                 1.4686,               0.008548,               0.008548,               0.008548
                     47,                0.83729,                0.73221,                 1.1914,                0.88925,                0.77122,                 1.2036,                0.87829,                 0.8785,                0.92002,                0.63951,                0.98228,                0.61214,                 1.4537,                 1.0029,                0.55651,                 1.4602,               0.008515,               0.008515,               0.008515
                     48,                0.83103,                0.72627,                  1.188,                0.88474,                0.75702,                 1.2011,                0.86525,                 0.8934,                0.91924,                0.63979,                0.99596,                0.60199,                 1.4509,                 1.0221,                0.53391,                  1.466,               0.008482,               0.008482,               0.008482
                     49,                0.83248,                0.72898,                 1.1885,                0.88326,                0.76805,                 1.2006,                0.86446,                0.87873,                 0.9196,                0.63761,                 1.0002,                0.61995,                  1.475,                 1.0143,                0.58877,                 1.4755,               0.008449,               0.008449,               0.008449
                     50,                0.82748,                0.71948,                 1.1869,                0.87867,                0.75766,                 1.1975,                0.87611,                0.88561,                0.91228,                0.63239,                 1.0028,                0.63421,                 1.4751,                  1.017,                0.59853,                  1.486,               0.008416,               0.008416,               0.008416
                     51,                0.83022,                0.71386,                 1.1881,                0.88508,                0.74783,                  1.202,                0.88655,                0.90692,                0.92581,                0.64262,                 1.0121,                0.58742,                 1.4689,                 1.0404,                0.53064,                 1.4903,               0.008383,               0.008383,               0.008383
                     52,                0.82214,                0.71773,                 1.1841,                 0.8798,                0.75311,                 1.1965,                0.85812,                0.90833,                 0.9146,                0.62927,                 1.0118,                0.60629,                 1.4726,                 1.0399,                0.53896,                 1.4824,                0.00835,                0.00835,                0.00835
                     53,                0.82124,                0.71724,                 1.1816,                0.87637,                0.74891,                 1.1962,                0.85965,                0.89597,                0.91555,                0.63834,                0.98808,                 0.6046,                 1.4536,                 1.0117,                0.56073,                 1.4715,               0.008317,               0.008317,               0.008317
                     54,                0.81668,                0.70108,                 1.1802,                0.86632,                0.72965,                 1.1924,                0.87516,                0.88981,                0.91967,                0.63954,                0.99409,                0.61778,                 1.4657,                 1.0223,                0.56821,                 1.4874,               0.008284,               0.008284,               0.008284
                     55,                0.82404,                0.70561,                 1.1861,                0.87695,                0.73293,                 1.1972,                0.85943,                0.91115,                0.92132,                0.64028,                 1.0038,                0.59134,                 1.4684,                  1.022,                0.54759,                 1.4863,               0.008251,               0.008251,               0.008251
                     56,                0.81604,                0.69322,                 1.1796,                0.86761,                0.73077,                 1.1928,                0.87749,                0.88841,                 0.9208,                0.63576,                 1.0077,                0.59661,                 1.4702,                  1.038,                 0.5302,                 1.4983,               0.008218,               0.008218,               0.008218
                     57,                0.80638,                 0.6811,                 1.1749,                 0.8572,                0.71925,                  1.188,                0.89308,                0.88195,                0.92502,                0.63747,                 1.0089,                0.59766,                  1.472,                 1.0418,                0.52154,                 1.4881,               0.008185,               0.008185,               0.008185
                     58,                0.81475,                0.68905,                 1.1791,                0.86596,                0.71839,                 1.1913,                0.88697,                 0.8863,                0.92043,                0.63866,                 1.0087,                0.59678,                 1.4725,                 1.0423,                0.51616,                 1.4855,               0.008152,               0.008152,               0.008152
                     59,                0.80524,                0.67159,                 1.1721,                0.86128,                0.69422,                 1.1848,                0.90377,                0.88855,                0.92405,                0.63567,                 1.0214,                 0.5919,                 1.4866,                 1.0397,                0.50885,                 1.4894,               0.008119,               0.008119,               0.008119
                     60,                0.80038,                0.66566,                 1.1684,                 0.8542,                0.69355,                 1.1824,                0.88426,                0.88592,                0.91973,                0.63721,                 1.0174,                0.59875,                 1.4871,                 1.0413,                0.52006,                 1.4914,               0.008086,               0.008086,               0.008086
                     61,                0.79113,                0.66758,                 1.1676,                 0.8455,                0.69801,                 1.1816,                0.89518,                0.87793,                0.91703,                 0.6376,                 1.0151,                0.59289,                 1.4912,                 1.0347,                0.52532,                 1.4995,               0.008053,               0.008053,               0.008053
                     62,                0.79092,                0.67002,                 1.1662,                0.84539,                0.70292,                 1.1778,                0.87659,                0.90557,                0.91924,                0.63938,                 1.0154,                0.60218,                 1.4955,                 1.0475,                0.53612,                 1.5105,                0.00802,                0.00802,                0.00802
                     63,                0.79262,                0.66137,                  1.166,                0.84829,                0.69165,                   1.18,                0.88794,                0.89055,                0.92218,                 0.6422,                 1.0173,                0.59234,                 1.4971,                 1.0398,                0.54602,                 1.5079,               0.007987,               0.007987,               0.007987
                     64,                0.78621,                0.65066,                 1.1644,                0.84046,                0.68214,                 1.1792,                0.88943,                0.89642,                0.92352,                0.64337,                 1.0207,                0.59561,                 1.4983,                   1.04,                 0.5464,                  1.506,               0.007954,               0.007954,               0.007954
                     65,                0.78222,                0.64565,                 1.1564,                0.83532,                0.67803,                 1.1692,                0.89361,                0.88298,                0.92241,                0.63825,                 1.0298,                0.58905,                 1.5093,                 1.0413,                0.55098,                 1.5076,               0.007921,               0.007921,               0.007921
                     66,                0.78423,                0.65159,                 1.1588,                0.84235,                0.67481,                 1.1733,                0.87961,                0.89694,                 0.9244,                 0.6427,                  1.036,                0.58701,                 1.5147,                 1.0567,                0.53092,                 1.5242,               0.007888,               0.007888,               0.007888
                     67,                0.77261,                0.64413,                 1.1548,                0.82433,                0.67643,                 1.1661,                0.89652,                0.88407,                0.92698,                0.64011,                 1.0353,                0.59103,                 1.5153,                 1.0638,                0.53706,                  1.528,               0.007855,               0.007855,               0.007855
                     68,                0.76982,                0.64212,                 1.1545,                0.82255,                0.67309,                 1.1674,                0.90123,                0.87179,                0.92647,                0.63957,                 1.0343,                 0.5922,                 1.5151,                 1.0556,                0.54272,                 1.5192,               0.007822,               0.007822,               0.007822
                     69,                0.76743,                0.63706,                 1.1518,                0.82048,                0.66802,                 1.1649,                0.88292,                0.91005,                0.92829,                0.64409,                 1.0223,                0.59616,                 1.5079,                 1.0485,                0.55089,                 1.5154,               0.007789,               0.007789,               0.007789
                     70,                0.76662,                0.63723,                   1.15,                0.81662,                0.66703,                 1.1627,                0.90179,                0.88553,                0.92673,                0.64251,                 1.0253,                0.59096,                 1.5188,                 1.0528,                0.53532,                 1.5265,               0.007756,               0.007756,               0.007756
                     71,                0.76525,                 0.6313,                 1.1551,                0.82016,                0.65595,                 1.1701,                0.89703,                0.89136,                0.92753,                0.64377,                 1.0239,                0.58451,                 1.5171,                 1.0451,                0.52681,                 1.5244,               0.007723,               0.007723,               0.007723
