               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.023653,             0.01087,            0.018378,             0.86616,             0.89425,             0.89756,              0.6047,            0.014471,           0.0033799,           0.0057498,            0.008119,            0.008119,            0.008119
                  97,            0.023568,            0.010986,            0.018336,             0.87096,             0.90408,             0.90337,             0.61337,            0.014512,           0.0033232,           0.0051538,           0.0080992,           0.0080992,           0.0080992
                  98,            0.023748,            0.010957,            0.018613,             0.88325,             0.89299,             0.90741,             0.61851,            0.014546,            0.003287,           0.0055258,           0.0080794,           0.0080794,           0.0080794
                  99,            0.023821,            0.010938,            0.018352,             0.85996,             0.89782,             0.89622,             0.61113,            0.014457,           0.0032763,           0.0057331,           0.0080596,           0.0080596,           0.0080596
                 100,            0.023689,            0.010788,            0.018429,             0.85302,             0.88709,             0.89492,             0.60753,            0.014351,           0.0033242,           0.0075324,           0.0080398,           0.0080398,           0.0080398
                 101,            0.023509,            0.010897,            0.018077,             0.86566,             0.89094,             0.90114,             0.61639,            0.013838,           0.0033081,           0.0059847,             0.00802,             0.00802,             0.00802
                 102,            0.023778,             0.01089,            0.018383,             0.86796,             0.89538,              0.9063,             0.61535,            0.014161,           0.0033176,           0.0066209,           0.0080002,           0.0080002,           0.0080002
                 103,            0.023651,             0.01086,            0.018737,             0.88339,             0.87895,             0.90661,             0.61917,            0.014141,           0.0032967,           0.0061091,           0.0079804,           0.0079804,           0.0079804
                 104,            0.023507,             0.01094,            0.018159,              0.8703,             0.90959,             0.90559,             0.61988,            0.013928,           0.0032833,           0.0046007,           0.0079606,           0.0079606,           0.0079606
                 105,             0.02374,            0.010857,            0.018078,             0.86939,             0.90259,             0.90411,             0.61733,            0.014028,           0.0032945,           0.0059283,           0.0079408,           0.0079408,           0.0079408
                 106,            0.023728,            0.010874,            0.017363,             0.86918,             0.90756,             0.90199,             0.61756,            0.013965,           0.0032762,           0.0055462,            0.007921,            0.007921,            0.007921
                 107,            0.023593,            0.010828,            0.017789,             0.85902,             0.90489,             0.89741,             0.60968,            0.014088,           0.0032919,           0.0061124,           0.0079012,           0.0079012,           0.0079012
                 108,            0.023672,            0.010891,            0.018236,             0.87027,             0.88541,             0.89398,             0.60743,            0.014073,           0.0033004,           0.0055477,           0.0078814,           0.0078814,           0.0078814
                 109,             0.02375,            0.010826,            0.018548,             0.88053,             0.88919,             0.90255,             0.61333,            0.014069,           0.0033259,           0.0054702,           0.0078616,           0.0078616,           0.0078616
                 110,            0.023601,            0.010855,            0.018089,             0.85324,              0.9007,             0.89628,             0.60778,            0.014121,           0.0033223,           0.0053814,           0.0078418,           0.0078418,           0.0078418
                 111,            0.023483,            0.010945,            0.017866,             0.86781,             0.88747,             0.89221,             0.60553,             0.01399,           0.0033328,           0.0057534,            0.007822,            0.007822,            0.007822
                 112,             0.02371,            0.010867,            0.018392,             0.88147,             0.87934,             0.89934,             0.61225,            0.014002,           0.0033214,           0.0053117,           0.0078022,           0.0078022,           0.0078022
                 113,             0.02359,            0.010874,            0.017786,             0.85111,             0.90522,             0.90137,             0.61089,            0.013963,           0.0033098,           0.0056376,           0.0077824,           0.0077824,           0.0077824
                 114,            0.023397,            0.010732,            0.018436,             0.87887,             0.88736,             0.90495,             0.61504,            0.014022,           0.0032857,           0.0055605,           0.0077626,           0.0077626,           0.0077626
                 115,            0.023574,            0.010862,             0.01795,             0.85996,             0.89923,             0.90176,               0.612,            0.013979,           0.0032735,           0.0055265,           0.0077428,           0.0077428,           0.0077428
                 116,             0.02396,            0.010857,            0.017918,             0.86746,              0.8977,             0.90026,             0.61431,            0.013737,           0.0032755,           0.0057593,            0.007723,            0.007723,            0.007723
                 117,            0.023456,            0.010794,            0.017845,             0.87511,             0.88863,               0.894,             0.61174,            0.013567,           0.0032618,           0.0072727,           0.0077032,           0.0077032,           0.0077032
                 118,            0.023543,            0.010754,            0.017632,             0.88112,             0.88537,              0.9015,             0.61351,            0.013571,           0.0032716,           0.0075122,           0.0076834,           0.0076834,           0.0076834
                 119,            0.023536,            0.010808,            0.018015,             0.87941,             0.89937,             0.89983,             0.61309,            0.013728,           0.0032637,           0.0065289,           0.0076636,           0.0076636,           0.0076636
                 120,            0.023606,            0.010731,            0.018057,             0.88732,             0.88881,             0.90579,             0.62039,            0.013735,           0.0032525,           0.0060205,           0.0076438,           0.0076438,           0.0076438
                 121,            0.023541,            0.010756,            0.017374,             0.86122,             0.90906,             0.90234,             0.61959,            0.013656,           0.0032518,           0.0054116,            0.007624,            0.007624,            0.007624
                 122,            0.023543,            0.010797,             0.01775,             0.86299,             0.91277,             0.90294,             0.61957,            0.013604,            0.003267,           0.0050713,           0.0076042,           0.0076042,           0.0076042
                 123,            0.023415,            0.010726,            0.017584,             0.86929,             0.89767,              0.9045,              0.6182,            0.013677,           0.0032633,           0.0050655,           0.0075844,           0.0075844,           0.0075844
                 124,             0.02347,            0.010882,             0.01797,             0.87564,             0.90214,             0.90419,             0.61623,            0.013725,            0.003274,            0.005156,           0.0075646,           0.0075646,           0.0075646
                 125,            0.023167,            0.010681,            0.017478,             0.86151,             0.90662,             0.90304,             0.61924,            0.013655,            0.003271,           0.0051101,           0.0075448,           0.0075448,           0.0075448
                 126,            0.023527,            0.010844,            0.017559,             0.86535,             0.90019,             0.90212,             0.61522,            0.013664,           0.0032854,           0.0058389,            0.007525,            0.007525,            0.007525
                 127,            0.023497,            0.010811,             0.01758,             0.86765,             0.89912,             0.90443,             0.61286,            0.013815,           0.0032867,           0.0065034,           0.0075052,           0.0075052,           0.0075052
                 128,            0.023373,            0.010666,            0.017574,              0.8622,             0.91282,             0.90275,             0.61402,            0.013727,           0.0033048,           0.0058891,           0.0074854,           0.0074854,           0.0074854
                 129,            0.023422,            0.010739,            0.016923,             0.87496,             0.90345,             0.90272,             0.61597,            0.013682,           0.0032984,           0.0058522,           0.0074656,           0.0074656,           0.0074656
                 130,            0.023387,            0.010736,            0.017911,             0.88073,             0.89529,              0.9054,             0.61604,            0.013683,           0.0032974,           0.0059622,           0.0074458,           0.0074458,           0.0074458
                 131,            0.023386,            0.010768,            0.017029,             0.87553,             0.90292,             0.90739,             0.61647,            0.013652,           0.0033041,           0.0062129,            0.007426,            0.007426,            0.007426
                 132,            0.023431,            0.010619,            0.017366,             0.87896,             0.89646,             0.90802,             0.61453,            0.013573,           0.0033005,           0.0059534,           0.0074062,           0.0074062,           0.0074062
                 133,            0.023406,            0.010649,            0.017343,             0.88099,             0.90741,             0.91014,             0.61848,            0.013697,           0.0033022,           0.0056819,           0.0073864,           0.0073864,           0.0073864
                 134,            0.023146,            0.010681,            0.017473,             0.87493,             0.90879,             0.91013,             0.61914,            0.013738,            0.003298,            0.005132,           0.0073666,           0.0073666,           0.0073666
                 135,            0.023486,            0.010758,             0.01731,             0.87605,              0.9091,             0.91036,             0.62235,            0.013507,            0.003285,           0.0050878,           0.0073468,           0.0073468,           0.0073468
                 136,             0.02333,            0.010752,            0.017612,             0.87893,             0.90505,             0.90954,             0.62387,            0.013461,           0.0032812,           0.0051433,            0.007327,            0.007327,            0.007327
                 137,             0.02332,            0.010811,            0.016987,             0.89273,             0.89394,             0.91118,             0.62511,            0.013509,           0.0032803,           0.0052712,           0.0073072,           0.0073072,           0.0073072
                 138,            0.023088,            0.010723,            0.017516,              0.8894,             0.89689,             0.91141,             0.62769,            0.013536,           0.0032647,           0.0057003,           0.0072874,           0.0072874,           0.0072874
                 139,            0.023263,            0.010743,            0.017066,             0.88117,              0.9031,             0.90887,             0.62419,            0.013519,            0.003257,           0.0059612,           0.0072676,           0.0072676,           0.0072676
                 140,            0.023385,            0.010646,            0.016908,             0.88426,             0.89297,             0.90697,             0.62406,            0.013649,           0.0032595,            0.006108,           0.0072478,           0.0072478,           0.0072478
                 141,            0.023157,            0.010701,            0.017116,             0.87695,              0.9058,             0.90559,             0.62408,            0.013657,           0.0032646,            0.005867,            0.007228,            0.007228,            0.007228
                 142,            0.023151,             0.01075,            0.016623,             0.87957,             0.90543,             0.90724,             0.62381,            0.013594,           0.0032703,           0.0055812,           0.0072082,           0.0072082,           0.0072082
